date,sales,demand,spend_sms,spend_newspaper,spend_radio,spend_tv,spend_internet,grp_sms,grp_newspaper,grp_radio,grp_internet,grp_tv,cpi,cci,ppi,unit_price,pos_supply
2011-01-03,36458037.0,116330,532.7654,95.481191,739.3536,10101.0276,19684.764,46.65114285714286,155.47314285714288,85.22077142857142,223.75972857142855,852.4090857142857,104.5,98.7,102.7,361.36285714285714,100890
2011-01-10,16723168.44,69604,494.3773,93.482411,683.9684,9859.8016,20136.955,9.641571428571428,147.71142857142857,95.94157142857144,248.01299999999998,810.1753428571428,104.5,99.9,102.7,361.02,46322
2011-01-17,16025316.78,64996,459.7566,95.056797,643.4807000000001,9991.506,22926.857,45.19992857142857,354.74742857142854,110.35715714285713,266.4870142857143,1012.2272714285715,104.5,99.9,102.7,361.02,44389
2011-01-24,12373960.5,63370,416.5671,91.969872,557.5452,9606.025,17706.523999999998,36.40062857142857,190.86942857142859,130.66882857142858,242.6039,1880.474,104.5,99.9,102.7,361.02,34275
2011-01-31,16861439.099999998,61971,423.22860000000003,93.10983,564.4694999999999,9739.6829,29406.667,17.003557142857144,763.6372857142858,112.487,252.90258571428572,965.5194714285715,104.5,99.6,102.7,361.02,46705
2011-02-07,28835389.439999998,76171,435.6344,92.7935,559.3989,9647.5756,30591.286,24.60925714285714,1003.3492857142857,103.1104,225.26622857142857,921.0389428571428,103.1,99.6,102.7,361.02,79872
2011-02-14,34825433.28,92067,395.8172,90.104363,535.263,9343.8263,29227.333,14.239985714285714,1229.5752857142857,98.28571428571429,255.04544285714286,989.9090714285713,103.1,99.6,102.7,361.02,96464
2011-02-21,26628835.2,82735,364.91909999999996,86.600724,541.6514999999999,9074.0203,25632.239,47.0992,1112.354142857143,412.4870285714286,257.51300000000003,1989.1103714285714,103.1,99.6,102.7,361.02,73760
2011-02-28,13942592.399999999,48456,292.0773,73.914951,560.373,7750.5024,28036.286,49.12755714285714,1189.3727142857144,101.57142857142857,253.57142857142858,981.6753428571428,103.1,99.6,102.7,361.02,38620
2011-03-07,16101492.0,44565,314.8707,76.472718,567.5065,7951.577,26379.237,50.353185714285715,890.1191857142858,239.49912857142857,485.3964714285715,1964.558442857143,103.5,99.6,102.7,361.02,44600
2011-03-14,12940039.86,42001,295.3746,77.119387,548.8267,7968.0611,17757.087,29.406557142857142,456.83872857142853,134.47647142857141,358.5407,1102.1753285714287,103.5,99.6,102.7,361.02,35843
2011-03-21,13959560.34,39832,315.34929999999997,81.502805,553.2532,8433.0721,19706.547000000002,22.383557142857143,80.24614285714286,143.50005714285714,344.79585714285713,1177.6688285714285,103.5,99.6,102.7,361.02,38667
2011-03-28,13563160.379999999,30270,517.5209,92.54594900000001,727.917,9694.0777,4709.141,9.635371428571428,99.47299999999998,100.18182857142857,291.013,782.8116714285715,103.5,99.6,102.7,361.02,37569
2011-04-04,15185945.28,35612,538.2203,92.691669,721.4749,9737.8524,4417.524,31.546457142857143,107.49657142857143,121.13635714285715,296.42205714285717,834.7987,103.3,99.6,102.7,361.02,42064
2011-04-11,14155233.18,42809,488.2014,92.949403,689.3887,9822.9573,19971.809999999998,27.8114,136.38771428571428,111.37012857142858,278.8701142857143,945.2337857142858,103.3,99.6,102.7,361.02,39209
2011-04-18,15024569.34,44400,532.3608,94.059958,723.2755999999999,9930.470000000001,25021.856,43.64932857142857,102.296,118.42855714285713,275.2727142857143,968.7337571428571,103.3,107.6,102.7,361.02,41617
2011-04-25,16163948.459999999,53724,521.0065999999999,94.889714,724.9612999999999,10073.7441,20952.288,28.203699999999998,169.4312857142857,82.33764285714287,217.04544285714286,837.9026,103.3,107.6,102.7,361.02,44773
